2025-11-06_19-20-21,None,draft.py:2025-11-06_19-20-21
2025-11-07_08-21-12,None,draft.py:2025-11-07_08-21-12
2025-11-07_08-21-12,None,draft.py:2025-11-07_08-21-12
2025-11-07_09-04-21,None,draft.py:2025-11-07_09-04-21
2025-11-07_09-04-21,None,draft.py:2025-11-07_09-04-21
2025-11-07_09-04-21,None,draft.py:2025-11-07_09-04-21
2025-11-07_09-04-21,None,draft.py:2025-11-07_09-04-21
2025-11-07_09-04-22,None,draft.py:2025-11-07_09-04-22
2025-11-07_09-04-22,None,draft.py:2025-11-07_09-04-22
2025-11-07_09-10-51,None,draft.py:2025-11-07_09-10-51
2025-11-07_09-10-51,None,draft.py:2025-11-07_09-10-51
2025-11-07_09-10-52,None,draft.py:2025-11-07_09-10-52
2025-11-07_09-10-52,None,draft.py:2025-11-07_09-10-52
2025-11-07_09-10-52,None,draft.py:2025-11-07_09-10-52
2025-11-07_09-46-04,None,draft.py:2025-11-07_09-10-52
2025-11-10_16-34-31,None,draft.py:2025-11-07_09-10-52
2025-11-10_16-46-26,None,draft.py:2025-11-07_09-10-52;teste.py:2025-11-10_16-46-26
2025-11-10_16-54-09,None,draft.py:2025-11-07_09-10-52;teste.py:2025-11-10_16-46-26
2025-11-10_23-00-09,None,draft.py:2025-11-07_09-10-52;teste.py:2025-11-10_16-46-26
2025-11-10_23-00-09,None,draft.py:2025-11-07_09-10-52;teste.py:2025-11-10_16-46-26
2025-11-10_23-00-09,None,draft.py:2025-11-07_09-10-52;teste.py:2025-11-10_16-46-26
2025-11-11_15-43-07,None,draft.py:2025-11-07_09-10-52;teste.py:2025-11-10_16-46-26
2025-11-11_16-01-29,None,draft.py:2025-11-11_16-01-29;teste.py:2025-11-10_16-46-26
2025-11-11_16-01-30,None,draft.py:2025-11-11_16-01-29;teste.py:2025-11-10_16-46-26
2025-11-11_16-06-35,None,draft.py:2025-11-11_16-06-35;teste.py:2025-11-10_16-46-26
2025-11-11_16-13-59,None,draft.py:2025-11-11_16-13-59;teste.py:2025-11-10_16-46-26
2025-11-11_16-13-59,None,draft.py:2025-11-11_16-13-59;teste.py:2025-11-10_16-46-26
2025-11-11_16-15-36,None,draft.py:2025-11-11_16-15-36;teste.py:2025-11-10_16-46-26
2025-11-11_16-15-37,None,draft.py:2025-11-11_16-15-36;teste.py:2025-11-10_16-46-26
2025-11-11_16-15-38,None,draft.py:2025-11-11_16-15-36;teste.py:2025-11-10_16-46-26
2025-11-11_16-15-38,None,draft.py:2025-11-11_16-15-36;teste.py:2025-11-10_16-46-26
2025-11-11_16-29-59,None,draft.py:2025-11-11_16-15-36;teste.py:2025-11-10_16-46-26
2025-11-11_16-30-01,None,draft.py:2025-11-11_16-15-36;teste.py:2025-11-10_16-46-26
2025-11-11_16-30-25,None,draft.py:2025-11-11_16-30-25;teste.py:2025-11-10_16-46-26
2025-11-11_16-30-25,None,draft.py:2025-11-11_16-30-25;teste.py:2025-11-10_16-46-26
2025-11-11_16-31-13,None,draft.py:2025-11-11_16-31-13;teste.py:2025-11-10_16-46-26
2025-11-11_16-33-34,None,draft.py:2025-11-11_16-33-34;teste.py:2025-11-10_16-46-26
2025-11-11_16-34-16,None,draft.py:2025-11-11_16-34-16;teste.py:2025-11-10_16-46-26
2025-11-11_16-36-15,None,draft.py:2025-11-11_16-36-15;teste.py:2025-11-10_16-46-26
2025-11-11_16-37-34,None,draft.py:2025-11-11_16-37-34;teste.py:2025-11-10_16-46-26
2025-11-11_16-37-53,None,draft.py:2025-11-11_16-37-53;teste.py:2025-11-10_16-46-26
2025-11-11_22-08-51,None,draft.py:2025-11-11_22-08-51;teste.py:2025-11-10_16-46-26
2025-11-11_22-24-58,None,draft.py:2025-11-11_22-08-51;teste.py:2025-11-10_16-46-26
2025-11-11_22-26-02,None,draft.py:2025-11-11_22-26-02;teste.py:2025-11-10_16-46-26
